アイテムID,日本語アイテム名
13674,スカイパイレーツ・ヒーラーシューズ
13676,スカイパイレーツ・キャスターキャップ
13677,スカイパイレーツ・キャスターコート
13678,スカイパイレーツ・キャスターグローブ
13679,スカイパイレーツ・キャスターボトム
13680,スカイパイレーツ・キャスターシューズ
13682,レインボークロスジュストコール
13683,レインボークロスブリーチ
13684,アルケオーニスブーツ
13685,アルケオーニスクローシュ
13686,レインボークロス・バッスルドレス
13687,アルケオーニスショートブーツ
13688,ラミーシャツ
13708,カララント:パステルピンク
13709,カララント:ダークレッド
13710,カララント:ダークブラウン
13711,カララント:パステルグリーン
13712,カララント:ダークグリーン
13713,カララント:パステルブルー
13714,カララント:ダークブルー
13715,カララント:パステルパープル
13716,カララント:ダークパープル
13717,カララント:メタリックレッド
13718,カララント:メタリックオレンジ
13719,カララント:メタリックイエロー
13720,カララント:メタリックグリーン
13721,カララント:メタリックスカイブルー
13722,カララント:メタリックブルー
13723,カララント:メタリックパープル
13726,アイアンクラッパー
13727,オプロプケン
13728,クルザスクリオネ
13729,ドラヴァニアスメルト
13730,天空珊瑚
13731,サンセットセイル
13732,ゴブリバス
13733,プテロダクティルス
13734,ユーリノサウルス
13736,ジュエルマリモ
13737,クラウントラウト
13738,嵐神魚
13739,シーフベタ
13740,ゴールドスミスクラブ
13742,嵐神魚の姿蒸し
13743,セサミクッキー
13744,ウィンドシルク
13745,ダイノレザー
13746,ファルコナーヘンプ
13747,チタンアロイインゴット
13748,雲布
13749,プテロダクティルスレザー
13750,閃亜鉛鉱
13751,浮島陶石
13752,クラウンミスルトゥ
13753,雲綿
13754,ブラッドペッパー
13755,ブラッドペッパーの種
13756,ドラヴァニア浮草
13757,ドマグラスの苗
13758,タガヤサン角材
13759,テクタイト
13760,イブニングジェード
13761,古竜骨片
13762,ペリウィンクル
13763,クラウドマッシュルーム
13764,スカイウィドー
13765,オールドワールドフィグの種
13766,チャイブの種
13767,プチキャベツの種
13768,クルザス茶樹の種
13769,ファルコナーボトム
13770,ファルコナーブーツ
13771,ドラゴンレザーボトム
13772,ドラゴンレザーブーツ
13775,エンペラーズ・ニューフィスト
13790,レプリカ・アラガンブレード
13791,レプリカ・アラガンバグナウ
13792,レプリカ・アラガンバトルアクス
13793,レプリカ・アラガンスピア
13794,レプリカ・アラガンコンポジットボウ
13795,レプリカ・アラガンケーン
13796,レプリカ・アラガンセプター
13797,レプリカ・アラガンキャスターグリモア
13798,レプリカ・アラガンヒーラーグリモア
13799,レプリカ・アラガンダガー
13800,レプリカ・アラガン・ディバイダー
13801,レプリカ・アラガンハンドガン
13802,レプリカ・アラガンスターグローブ
13803,レプリカ・アラガンラウンドシールド
13804,レプリカ・アラガンヘルム
13805,レプリカ・ヘヴィアラガンアーマー
13806,レプリカ・ヘヴィアラガンガントレット
13807,レプリカ・ヘヴィアラガンクウィス
13808,レプリカ・ヘヴィアラガンソルレット
13809,レプリカ・アラガンスレイヤーバイザー
13810,レプリカ・アラガンスレイヤーキュイラス
13811,レプリカ・アラガンスレイヤーガントレット
13812,レプリカ・アラガンスレイヤートラウザー
13813,レプリカ・アラガンスレイヤーソルレット
13814,レプリカ・アラガンストライカーバイザー
13815,レプリカ・アラガンストライカーキュイラス
13816,レプリカ・アラガンストライカーガントレット
13817,レプリカ・アラガンストライカートラウザー
13818,レプリカ・アラガンストライカーソルレット
13819,レプリカ・アラガンレンジャーバイザー
13820,レプリカ・アラガンレンジャーキュイラス
13821,レプリカ・アラガンレンジャーガントレット
13822,レプリカ・アラガンレンジャートラウザー
13823,レプリカ・アラガンレンジャーソルレット
13824,レプリカ・アラガンヒーラーサークレット
13825,レプリカ・アラガンヒーラーチュニック
13826,レプリカ・アラガンヒーラーグローブ
13827,レプリカ・アラガンヒーラーブリーチ
13828,レプリカ・アラガンヒーラーブーツ
13829,レプリカ・アラガンキャスターサークレット
13830,レプリカ・アラガンキャスターチュニック
13831,レプリカ・アラガンキャスターグローブ
13832,レプリカ・アラガンキャスターブリーチ
13833,レプリカ・アラガンキャスターブーツ
13834,レプリカ・ハイアラガン・カイトシールド
13835,レプリカ・ハイアラガンブレード
13836,レプリカ・ハイアラガンバグナウ
13837,レプリカ・ハイアラガン・バトルアクス
13838,レプリカ・ハイアラガンスピア
13839,レプリカ・ハイアラガン・コンポジットボウ
13840,レプリカ・ハイアラガンクルーク
13841,レプリカ・ハイアラガンスタッフ
13842,レプリカ・ハイアラガン・キャスターグリモア
13843,レプリカ・ハイアラガン・ヒーラーグリモア
13844,レプリカ・ハイアラガンクリーバー
13845,レプリカ・ハイアラガン・ディバイダー
13846,レプリカ・ハイアラガンハンドガン
13847,レプリカ・ハイアラガンアストロメーター
13848,レプリカ・ハイアラガン・ディフェンダーサークレット
13849,レプリカ・ハイアラガン・ヘヴィコート
13850,レプリカ・ハイアラガン・ディフェンダーガントレット
13851,レプリカ・ハイアラガン・ディフェンダートラウザー
13852,レプリカ・ハイアラガン・ディフェンダーサバトン
13853,レプリカ・ハイアラガン・スレイヤーヘッドギア
13854,レプリカ・ハイアラガン・スレイヤーキュイラス
13855,レプリカ・ハイアラガン・スレイヤーガントレット
13856,レプリカ・ハイアラガン・スレイヤートラウザー
13857,レプリカ・ハイアラガン・スレイヤーサバトン
13858,レプリカ・ハイアラガン・ストライカーヘッドギア
13859,レプリカ・ハイアラガン・ストライカーキュイラス
13860,レプリカ・ハイアラガン・ストライカーガントレット
13861,レプリカ・ハイアラガン・ストライカートラウザー
13862,レプリカ・ハイアラガン・ストライカーサバトン
13863,レプリカ・ハイアラガン・レンジャーマスク
13864,レプリカ・ハイアラガン・レンジャーコート
13865,レプリカ・ハイアラガン・レンジャーグローブ
13866,レプリカ・ハイアラガン・レンジャーブリーチ
13867,レプリカ・ハイアラガン・レンジャーブーツ
13868,レプリカ・ハイアラガン・ヒーラーサークレット
13869,レプリカ・ハイアラガン・ヒーラーコート
13870,レプリカ・ハイアラガン・ヒーラーグローブ
13871,レプリカ・ハイアラガン・ヒーラーパンタロン
13872,レプリカ・ハイアラガン・ヒーラーサイブーツ
13873,レプリカ・ハイアラガン・キャスターマスク
13874,レプリカ・ハイアラガン・キャスターコート
13875,レプリカ・ハイアラガン・キャスターグローブ
13876,レプリカ・ハイアラガン・キャスターブリーチ
13877,レプリカ・ハイアラガン・キャスターブーツ
13892,レプリカ・バハムート・ディフェンダーコロネット
13893,レプリカ・バハムート・ディフェンダーアーマー
13894,レプリカ・バハムート・ディフェンダーガントレット
13895,レプリカ・バハムート・ディフェンダーサルエル
13896,レプリカ・バハムート・ディフェンダーサバトン
13897,レプリカ・バハムート・スレイヤーバルビュート
13898,レプリカ・バハムート・スレイヤーメイル
13899,レプリカ・バハムート・スレイヤーヴァンブレイス
13900,レプリカ・バハムート・スレイヤーブリーチ
13901,レプリカ・バハムート・スレイヤーグリーヴ
13902,レプリカ・バハムート・ストライカーサークレット
13903,レプリカ・バハムート・ストライカーシクラス
13904,レプリカ・バハムート・ストライカーブレーサー
13905,レプリカ・バハムート・ストライカースロップ
13906,レプリカ・バハムート・ストライカーブーツ
13907,レプリカ・バハムート・レンジャーシャポー
13908,レプリカ・バハムート・レンジャータバード
13909,レプリカ・バハムート・レンジャーブレーサー
13910,レプリカ・バハムート・レンジャーブリーチ
13911,レプリカ・バハムート・レンジャーグリーヴ
13912,レプリカ・バハムート・ヒーラーフード
13913,レプリカ・バハムート・ヒーラーローブ
13914,レプリカ・バハムート・ヒーラーグローブ
13915,レプリカ・バハムート・ヒーラートンバン
13916,レプリカ・バハムート・ヒーラーシューズ
13917,レプリカ・バハムート・キャスターペタソス
13918,レプリカ・バハムート・キャスターローブ
13919,レプリカ・バハムート・キャスターグローブ
13920,レプリカ・バハムート・キャスタートンバン
13921,レプリカ・バハムート・キャスターシューズ
13922,レプリカ・バハムート・スカウトサークレット
13923,レプリカ・バハムート・スカウトシクラス
13924,レプリカ・バハムート・スカウトブレーサー
13925,レプリカ・バハムート・スカウトスロップ
13926,レプリカ・バハムート・スカウトブーツ
14003,ヴィルトガンス級船体
14004,ヴィルトガンス級霊翼
14005,ヴィルトガンス級船首
14006,ヴィルトガンス級船尾
14007,オールドローズの種
14008,ラノシアン・ベース
14009,シュラウド・ベース
14010,ザナラーン・ベース
14011,緋色の油粕
14012,青碧の油粕
14013,山吹の油粕
14045,オーケストリオン
14047,オニオンプリンスのぬいぐるみ
14048,プリンフロアランプ
14049,プリンラグ
14050,プリンソファー
14051,プリンデスク
14052,イシュガルディアン・ディナーセット
14053,ハイハウス・ディナーセット
14055,ラノシアン・プランター
14056,シュラウド・プランター
14057,ザナラーン・プランター
14058,古代獣の頭骨標本
14059,古代獣の骨格標本
14060,古代獣の尾骨標本
14061,サボテンダートピアリー
14062,アルコンエッグタワー
14063,ダンデライオンガーデン
14064,グリーンアーチ
14065,鹿威し
14066,ファウストダミー
14068,イシュガルディアン・シャンデリア
14069,イシュガルディアン・フローリング
14070,イシュガルディアン・インナーウォール
14071,オールドローズ:レッド
14072,オールドローズ:ブルー
14073,オールドローズ:イエロー
14074,オールドローズ:グリーン
14075,オールドローズ:オレンジ
14076,オールドローズ:パープル
14077,オールドローズ:ホワイト
14078,オールドローズ:ブラック
14079,オールドローズ:ブレンド
14080,セフィロト・バード
14083,ズーホルン
14093,マメット・ガルーダ
14094,マメット・タイタン
14095,マメット・リヴァイアサン
14098,カルコ
14100,モルフォ
14103,フェンリル・パップ
14134,スパイスサイダー
14135,アップルシュトゥルーデル
14136,ペペロンチーノ
14137,ボスカイオーラ
14138,ロフタンステーキ
14139,オイスターコンフィ
14140,アングラーシチュー
14141,ヌマムツの甘露煮
14142,ゴールデンアップル
14143,ソルガーリック
14144,完熟オリーヴオイル
14145,ロフタンのフィレ
14146,ハイミスライトインゴット
14147,イコンミスライト
14148,光霊銀鉱
14149,イコンアロイインゴット
14150,イコンメタル
14151,菱亜鉛鉱
14152,イコンクロス
14153,イコンファイバー
14154,雪綿
14155,イコンレザー
14156,イコンハイド
14157,硬化カンファー材
14158,カンファー材
14159,カンファー原木
14160,カンファーの枝
14161,樟脳
14164,ゴブリン樹脂
14171,剛力の錬金溶剤G3
14172,眼力の錬金溶剤G3
14173,活力の錬金溶剤G3
14174,知力の錬金溶剤G3
14175,心力の錬金溶剤G3
14176,剛力の仙薬
14177,眼力の仙薬
14178,活力の仙薬
14179,知力の仙薬
14180,心力の仙薬
14181,無地のオーケストリオン譜G1
14182,無地のオーケストリオン譜G2
14183,無地のオーケストリオン譜G3
14184,ハイミスライトナゲット
14186,刺繍針
14187,グリフィンストラップ
14188,刺繍糸
14189,角粉
14190,枯角
14211,アンバーサラマンダー
14212,ヌマムツ
14213,フリーシーモトロ
14214,ニクトサウルス
14215,ラーヴァスネイル
14216,プリーストフィッシュ
14217,クルザスオイスター
14218,オリファントノーズ
14219,ベーンクラーケン
14220,アブトアード
14222,オーケストリオン譜:水車の調べ
14223,オーケストリオン譜:偉大なる母港
14224,オーケストリオン譜:希望の都
14225,オーケストリオン譜:堅牢
14226,オーケストリオン譜:砂の家
14229,オーケストリオン譜:もう一杯！
14230,オーケストリオン譜:彩られし山麓
14231,オーケストリオン譜:雲に隠れて
14234,オーケストリオン譜:ただひとつの道
14235,オーケストリオン譜:そして世界へ
14237,オーケストリオン譜:汗を流して
14238,オーケストリオン譜:不屈の闘志
14239,オーケストリオン譜:血で血を洗って
14240,オーケストリオン譜:餓えた狼
14241,オーケストリオン譜:潮衝
14242,オーケストリオン譜:漆黒の誓い
14243,オーケストリオン譜:闇の抱擁
14244,オーケストリオン譜:嵐の中の灯火
14245,オーケストリオン譜:イマジネーション
14246,オーケストリオン譜:上り階段をくだれ
14247,オーケストリオン譜:魔大戦の傷跡
14250,オーケストリオン譜:神なき世界
14251,オーケストリオン譜:原始の審判
14252,オーケストリオン譜:堕天せし者
14253,オーケストリオン譜:過重圧殺！
14254,オーケストリオン譜:英傑
14255,オーケストリオン譜:魔神
14256,オーケストリオン譜:傲慢
14257,オーケストリオン譜:奈落へ
14258,オーケストリオン譜:絢爛
14259,オーケストリオン譜:ドーガとウネの心
14260,オーケストリオン譜:薄闇
14261,オーケストリオン譜:最後の死闘
14262,オーケストリオン譜:悠久の風
14263,オーケストリオン譜:雷鳴
14264,オーケストリオン譜:白銀の凶鳥、飛翔せり
14265,オーケストリオン譜:灰より生まれし者
14266,オーケストリオン譜:闘争
14267,オーケストリオン譜:Answers
14268,古びた譜面:もう一杯！
14269,古びた譜面:彩られし山麓
14270,古びた譜面:雲に隠れて
14271,古びた譜面:ただひとつの道
14272,古びた譜面:そして世界へ
14273,古びた譜面:血で血を洗って
14274,古びた譜面:餓えた狼
14275,古びた譜面:潮衝
14276,古びた譜面:漆黒の誓い
14277,古びた譜面:闇の抱擁
14278,古びた譜面:嵐の中の灯火
14279,古びた譜面:イマジネーション
14280,古びた譜面:上り階段をくだれ
14281,古びた譜面:魔大戦の傷跡
14282,古びた譜面:神なき世界
14283,古びた譜面:原始の審判
14284,古びた譜面:堕天せし者
14285,古びた譜面:過重圧殺！
14286,古びた譜面:英傑
14287,古びた譜面:魔神
14288,古びた譜面:傲慢
14289,古びた譜面:奈落へ
14290,古びた譜面:絢爛
14291,古びた譜面:ドーガとウネの心
14292,古びた譜面:薄闇
14293,古びた譜面:最後の死闘
14294,古びた譜面:雷鳴
14295,古びた譜面:白銀の凶鳥、飛翔せり
14296,古びた譜面:灰より生まれし者
14297,古びた譜面:Answers
14712,ハイミスライト・ディフェンダーヘルム
14713,ハイミスライト・ディフェンダーキュイラス
14714,ハイミスライト・ディフェンダーガントレット
14715,イコンレザー・ディフェンダーブリーチ
14716,ハイミスライト・ディフェンダーサバトン
14717,イコンレザー・スレイヤーヘッドギア
14718,イコンレザー・スレイヤーコースリット
14719,イコンレザー・スレイヤーアームガード
14720,イコンクロス・スレイヤーブレー
14721,イコンレザー・スレイヤーレッグガード
14722,イコンレザー・ストライカーヘッドギア
14723,イコンレザー・ストライカーコースリット
14724,イコンレザー・ストライカーアームガード
14725,イコンクロス・ストライカーブレー
14726,イコンレザー・ストライカーレッグガード
14727,イコンクロス・レンジャーハット
14728,イコンクロス・レンジャーアクトン
14729,イコンクロス・レンジャースリーヴ
14730,イコンクロス・レンジャーキュロット
14731,イコンレザー・レンジャーサイブーツ
14732,イコンクロス・スカウトハット
14733,イコンクロス・スカウトアクトン
14734,イコンクロス・スカウトスリーヴ
14735,イコンクロス・スカウトキュロット
14736,イコンレザー・スカウトサイブーツ
14737,イコンクロス・ヒーラーハット
14738,イコンクロス・ヒーラーアクトン
14739,イコンクロス・ヒーラースリーヴ
14740,イコンクロス・ヒーラースカート
14741,イコンレザー・ヒーラーブーツ
14742,イコンレザー・キャスターヘッドギア
14743,イコンレザー・キャスターコースリット
14744,イコンレザー・キャスターアームガード
14745,イコンクロス・キャスタースカート
14746,イコンレザー・キャスターブーツ
14830,エクスペディションコート
14831,エクスペディションケクス
14832,エクスペディションモカシン
14833,エクスペディションタバード
14834,エクスペディショングローブ
14835,エクスペディションパンタレット
14836,エクスペディション・サイブーツ
14837,エクスペディションキャップ
14841,オールドローズオーナメント:レッド
14842,オールドローズオーナメント:ブルー
14843,オールドローズオーナメント:イエロー
14844,オールドローズオーナメント:グリーン
14845,オールドローズオーナメント:オレンジ
14846,オールドローズオーナメント:パープル
14847,オールドローズオーナメント:ホワイト
14848,オールドローズオーナメント:ブラック
14849,オールドローズオーナメント:ブレンド
14850,ウラエウスボディアーマー
14851,ウラエウスブリーチ
14852,ヒッポグリフブレストガード
14853,ヒッポグリフパンタレット
14868,ウラエウススカート
14869,ウラエウスコート
14894,ドドレブーツ
14900,エッグナイトのぬいぐるみ
14901,ガーリックスターのぬいぐるみ
14902,キングトマトのぬいぐるみ
14903,マンドラクイーンのぬいぐるみ
14924,ダルメルコート
14925,ラミーケクス
14926,ダルメルモカシン
14927,ラミータバード
14928,ダルメルダークグローブ
14929,ラミーパンタレット
14930,ダルメルサイブーツ
14931,アンティークラグ
14932,アンティークレザー
14933,チンカルコナイト
14934,古代獣の化石片
14935,超硬ガーロンド鋼
14936,ファウストの装甲板
14937,霊獣の角粉
14939,ウィンドシルク・ウェッジキャップ
14940,ウィンドシルクコーティー
14941,ダイノレザーグローブ
14942,ウィンドシルクボトム
14943,ダイノレザーシューズ
14955,光霊銀砂
14956,淡雪綿
14957,カンファー古木
15097,レプリカ・アラガンロッド
15098,アラガンエーテルストーン:武器
15099,アラガンエーテルストーン:頭防具
15100,アラガンエーテルストーン:胴防具
15101,アラガンエーテルストーン:手防具
15102,アラガンエーテルストーン:脚防具
15103,アラガンエーテルストーン:足防具
15104,ハイアラガンエーテルストーン:武器
15105,ハイアラガンエーテルストーン:頭防具
15106,ハイアラガンエーテルストーン:胴防具
15107,ハイアラガンエーテルストーン:手防具
15108,ハイアラガンエーテルストーン:脚防具
15109,ハイアラガンエーテルストーン:足防具
15130,ルーキーチョーカー
15131,ルーキーイヤリング
15132,ルーキーリストレット
15133,ルーキーリング
15143,違い棚
15144,ウォッシュスタンド
15145,ベアーのぬいぐるみ
15146,イシュガルディアン・モーニングセット
15147,ハットスタンド
15148,アッシュトレイ
15149,インダイレクトランプ
15150,インダイレクトランプ・スタンド
15151,セラピーカーテン
15152,MGニーズヘッグ
15157,ビーチチェア
15158,モーニンググローリーガーデン
15159,ラージガーデンポンド
15160,オリエンタルウッドブリッジ
15161,オリエンタルベランダ
15164,シャーレアン・フローリング
15165,ブルースカイ・インナーウォール
15425,ロランベリーシェイブドアイス
15427,ニーズヘッグ・バード
15436,マメット・ラムウ
15437,マメット・シヴァ
15439,マジックバケツ
15440,ゲソ
15441,マメット・ブラキオ
15447,ドワーフラビット
15462,ニューワールド・ヘッドドレス
15463,ニューワールド・ジャケット
15464,ニューワールド・アームレット
15465,ニューワールド・ホーズ
15466,ニューワールド・モカシン
15472,サバイバーハット
15473,サバイバーシャツ
15474,サバイバーハーフパンツ
15475,サバイバーブーツ
15476,エクストリーム・サバイバーシャツ
15477,エクストリーム・サバイバースロップ
15505,ガーロンド・ギャザラーキャップ
15506,ガーロンド・ギャザラーベスト
15507,ガーロンド・ギャザラーグローブ
15508,ガーロンド・ギャザラースロップ
15509,ガーロンド・ギャザラーブーツ
15510,カーボンクロス・ギャザラーキャップ
15511,カーボンクロス・ギャザラーベスト
15512,カーボンクロス・ギャザラーグローブ
15513,カーボンクロス・ギャザラースロップ
15514,カーボンクロス・ギャザラーブーツ
15515,ガーロンド・クラフターキャップ
15516,ガーロンド・クラフターエプロン
15517,ガーロンド・クラフタースリーヴ
15518,ガーロンド・クラフターブリーチ
15519,ガーロンド・クラフターブーツ
15520,カーボンクロス・クラフターキャップ
15521,カーボンクロス・クラフターエプロン
15522,カーボンクロス・クラフタースリーヴ
15523,カーボンクロス・クラフターブリーチ
15524,カーボンクロス・クラフターブーツ
15525,ガーロンド・ギャザラーネックレス
15526,ガーロンド・ギャザラーイヤリング
15527,ガーロンド・ギャザラーアルミラ
15528,ガーロンド・ギャザラーリング
15530,ガーロンド・クラフターネックレス
15531,ガーロンド・クラフターイヤリング
15532,ガーロンド・クラフターアルミラ
15533,ガーロンド・クラフターリング
15535,ハイミスライトソー
15536,ハイミスライト・クロスペインハンマー
15537,ハイミスライト・レイジングハンマー
15538,イコンアロイ・ラピダリーハンマー
15539,ハイミスライト・ラウンドナイフ
15540,イコンアロイニードル
15541,ハイミスライトアレンビック
15542,ハイミスライトフライパン
15543,ハイミスライトピック
15544,ハイミスライトハチェット
15545,ルミナスファイバー・フィッシングロッド
15546,ハイミスライト・クローハンマー
15547,ハイミスライトファイル
15548,ハイミスライトプライヤー
15549,イコンアロイ・グラインディングホイール
15550,ハイミスライトアウル
15551,カンファースピニングホイール
15552,ハイミスライトモーター
15553,ハイミスライトクリナリーナイフ
15554,ハイミスライトモール
15555,ハイミスライトサイズ
15556,レヴィン・サンダーストライク
15557,レヴィン・サンダークラック
15558,レヴィン・サンダーストーム
15559,レヴィン・サンダーボルト
15560,レヴィン・サンダーダーツ
15561,レヴィン・サンダースパーク
15562,レヴィン・サンダークラップ
15563,レヴィン・サンダーシャワー
15564,レヴィン・サンダーガヴェル
15565,レヴィン・サンダースタッフ
15566,レヴィン・サンダーインデックス
15567,レヴィン・サンダーコーデックス
15568,レヴィン・サンダースフィア
15569,レヴィン・サンダーヘッド
15570,エクスパンスソード
15571,エクスパンスパタ
15572,エクスパンスバトルアクス
15573,エクスパンスパルチザン
15574,エクスパンスロングボウ
15575,エクスパンスマチェット
15576,エクスパンスグレートソード
15577,エクスパンスハンドゴンネ
15578,エクスパンスケーン
15579,エクスパンスロングポール
15580,エクスパンスグリモア
15581,エクスパンスコーデックス
15582,エクスパンスアストロメーター
15583,エクスパンスシールド
15584,ハイヴシャムシール
15585,ハイヴクロー
15586,ハイヴバトルアクス
15587,ハイヴスピア
15588,ハイヴボウ
15589,ハイヴクリス
15590,ハイヴクレイモア
15591,ハイヴマスケトン
15592,ハイヴケーン
15593,ハイヴロングポール
15594,ハイヴグリモア
15595,ハイヴコーデックス
15596,ハイヴプラニスフィア
15597,ハイヴスクトゥム
15598,ソード・オブ・ラウンド
15599,ナックル・オブ・ラウンド
15600,アクス・オブ・ラウンド
15601,ハルバード・オブ・ラウンド
15602,ボウ・オブ・ラウンド
15603,ダガー・オブ・ラウンド
15604,クレイモア・オブ・ラウンド
15605,ファイア・オブ・ラウンド
15606,ケーン・オブ・ラウンド
15607,スタッフ・オブ・ラウンド
15608,グリモア・オブ・ラウンド
15609,コーデックス・オブ・ラウンド
15610,メーター・オブ・ラウンド
15611,シールド・オブ・ラウンド
15626,ファットパース
15627,イエティキラー
15628,ラ・レアル
15629,スケイルリッパー
15630,アクムノタネ
15631,メテオトータス
15632,水瓶王
15633,ヴィゾーヴニル
15634,ラタトスクソウル
15635,水墨魚
15636,ザ・セカンドワン
15637,ハイアラガンクラブ改
15638,バイオガピラルク
15645,ルミナスファイバー
15646,メテオライト
15647,樹液結晶
15648,白光の霊砂
15649,グラスファイバー
15650,ヘヴンスエッグスープ
15651,オルトラーナ
15652,ヘヴンスエッグ
15653,邪竜の鱗
15775,アクアリウムG1
15776,アクアリウムG2
15777,アクアリウムG3
15778,アクアリウムG4
15799,オーケストリオン譜:夢見る女王陛下
15800,オーケストリオン譜:船乗りは眠らない
15801,オーケストリオン譜:蛍たちの舞踏会
15802,オーケストリオン譜:ノブレス・オブリージュ
15803,オーケストリオン譜:マトーヤの洞窟
15804,オーケストリオン譜:旅の宿
15805,オーケストリオン譜:風に向かって
15806,オーケストリオン譜:ランドロード
15807,オーケストリオン譜:欠けた頁
15808,オーケストリオン譜:灼熱の地へ
15809,オーケストリオン譜:西風に乗せて
15810,オーケストリオン譜:静穏の森
15813,オーケストリオン譜:秘密坑道
15814,オーケストリオン譜:不吉なる前兆
15815,オーケストリオン譜:万世の言葉
15816,オーケストリオン譜:アンブレーカブル
15817,オーケストリオン譜:詫言の詩
15818,オーケストリオン譜:地平線の彼方
15819,オーケストリオン譜:船乗りには難破を
15820,オーケストリオン譜:混沌の渦動
15821,オーケストリオン譜:善王モグル・モグXII世
15822,オーケストリオン譜:最期の咆哮
15823,オーケストリオン譜:ビッグブリッヂの死闘
15825,オーケストリオン譜:蒼き翼
15827,オーケストリオン譜:ザナラーンの黄昏
15828,オーケストリオン譜:ラノシアの疾風
15829,オーケストリオン譜:冥き地の底に
15831,古びた譜面:風に向かって
15832,古びた譜面:ランドロード
15833,古びた譜面:欠けた頁
15834,古びた譜面:船乗りには難破を
15835,古びた譜面:混沌の渦動
15836,古びた譜面:善王モグル・モグXII世
15837,古びた譜面:最期の咆哮
15838,古びた譜面:ビッグブリッヂの死闘
15839,古びた譜面:蒼き翼
15855,アルジクラベンダーの種
15856,ヴォイドマンドレイクの種
15857,アルジクラベンダー
15858,ヴォイドマンドレイク
15865,火晶草の種
15866,氷晶草の種
15867,風晶草の種
15868,土晶草の種
15869,雷晶草の種
15870,水晶草の種
15908,ネオエーテルストーン:頭防具
15909,ネオエーテルストーン:胴防具
15910,ネオエーテルストーン:手防具
15911,ネオエーテルストーン:脚防具
15912,ネオエーテルストーン:足防具
15913,ヴォーテックスケーン
15914,モグルモグロッド
15915,インフェルノロッド
15916,トレマースタッフ
15921,ムーンファイアハット
15922,ムーンファイアベスト
15923,ムーンファイアトランクス
15924,ムーンファイアカリガ
15925,ムーンファイアホルター
15926,ムーンファイアタンガ
15927,ムーンファイアサンダル
15928,ボアサバイバーハット
15929,リネンサバイバーシャツ
15930,リネン・サバイバーハーフパンツ
15931,ボアサバイバーブーツ
15945,ピレトリン
15950,チョコボ・コテージウォール
15951,チョコボ・ハウスウォール
15952,チョコボ・レジデンスウォール
15956,コンパクト・ホイールスタンドVI
15957,MGブロンコ級飛空艇
15958,MGインビンシブル級飛空艇
15959,MGエンタープライズ級飛空艇
15960,MGインビンシブル改級飛空艇
15961,MGオデッセイ級飛空艇
15962,MGタタノラ級飛空艇
15963,MGヴィルトガンス級飛空艇
15964,MGソフィア
15965,MGアレキサンダー
15967,カルコのぬいぐるみ
15968,ブリーナのぬいぐるみ
15969,マメットランタン
15970,ウォールボックスシェルフ
15971,蒼天騎士団の円卓
15974,ウォールブックシェルフ
15975,グブラフロアランプ
15976,コームドウールラグ
15977,スピリッツコレクション
15981,オータムナル・メープルツリー
15982,オータムナル・ギンキョウツリー
15983,オータムナル・メープルリーフドリフト
15984,オータムナル・ギンキョウリーフドリフト
16013,クリスタルシャンデリア
16014,パレス・オブ・デッド・フローリング
16015,パレス・オブ・デッド・インナーウォール
16016,パンジーの種
16017,パンジー:レッド
16018,パンジー:ブルー
16019,パンジー:イエロー
16020,パンジー:グリーン
16021,パンジー:オレンジ
16022,パンジー:パープル
16023,パンジー:ホワイト
16024,パンジー:ブラック
16025,パンジー:ブレンド
16026,ガーデニングソイル
16065,アクアリウムレイアウト:ブルックレット
16066,アクアリウムレイアウト:サザンシー
16557,ソフィア・バード
16558,メイド・バード
16564,ブラックペガサスホイッスル
16568,ニュー・サンクレッド
16570,ニュー・アリゼー
16572,うり坊
16573,マメット・エッダ
16596,ラミーフード
16597,ラミーポンチョ
16598,ダルメルファーブーツ
16599,カシミヤフード
16600,カシミヤポンチョ
16601,ソーリアンファーブーツ
16616,パンジーオーナメント:レッド
16617,パンジーオーナメント:ブルー
16618,パンジーオーナメント:イエロー
16619,パンジーオーナメント:グリーン
16620,パンジーオーナメント:オレンジ
16621,パンジーオーナメント:パープル
16622,パンジーオーナメント:ホワイト
16623,パンジーオーナメント:ブラック
16624,パンジーオーナメント:ブレンド
16625,アストラルシルクローブ
16626,グリフィンカフス
16627,ヘヴィアロイ・ロングソード
16628,ヘヴィアロイクロー
16629,ヘヴィアロイ・ウォーアクス
16630,ヘヴィアロイランス
16631,チークコンポジットボウ
16632,ヘヴィアロイダガー
16633,ヘヴィアロイ・グレートソード
16634,ヘヴィアロイカルバリン
16635,チークケーン
16636,シンチレータースタッフ
16637,ヘミキオングリモア
16638,ヘミキオンコーデックス
16639,シンチレータープラニスフィア
16640,ヘヴィアロイ・カイトシールド
16641,ヘヴィアロイ・ディフェンダーチェーンコイフ
16642,ヘヴィアロイ・ディフェンダーキュイラス
16643,ヘヴィアロイ・ディフェンダーガントレット
16644,ヘミキオン・ディフェンダーブレー
16645,ヘヴィアロイ・ディフェンダーサバトン
16647,ヘヴィアロイ・スレイヤーチェーンコイフ
16648,ヘヴィアロイ・スレイヤーキュイラス
16649,ヘヴィアロイ・スレイヤーガントレット
16650,ヘミキオン・スレイヤーブレー
16651,ヘヴィアロイ・スレイヤーサバトン
16653,シンチレーターストライカーサークレット
16654,スタービロード・ストライカータバード
16655,ヘミキオン・ストライカーグローブ
