アイテムID,日本語アイテム名,ワールド名,UNIXタイムスタンプ,取引日時(JST),単価(Gil),数量,合計金額(Gil),HQフラグ,購入者名
46795,演技教本:張り切る,Tonberry,1785950767,2026-08-06 02:26:07,83994,1,83994,NQ,Waka Kohaku
43961,バイカラージェム納品証【黄金】,Alexander,1785950766,2026-08-06 02:26:06,137000,3,411000,NQ,No Ppeke
43961,バイカラージェム納品証【黄金】,Alexander,1785950765,2026-08-06 02:26:05,137000,5,685000,NQ,No Ppeke
41765,名匠のハイオメガマテリジャ,Chocobo,1785950762,2026-08-06 02:26:02,5567,99,551133,NQ,Zwell Caliburn
41765,名匠のハイオメガマテリジャ,Chocobo,1785950761,2026-08-06 02:26:01,5566,99,551034,NQ,Zwell Caliburn
43961,バイカラージェム納品証【黄金】,Alexander,1785950759,2026-08-06 02:25:59,137000,5,685000,NQ,No Ppeke
41765,名匠のハイオメガマテリジャ,Chocobo,1785950759,2026-08-06 02:25:59,5550,99,549450,NQ,Zwell Caliburn
8,ファイアクリスタル,Valefor,1785950758,2026-08-06 02:25:58,51,2000,102000,NQ,Mororo Bloe
10373,魔導機械修理材,Yojimbo,1785950744,2026-08-06 02:25:44,1610,99,159390,NQ,Nora Misty
43961,バイカラージェム納品証【黄金】,Alexander,1785950743,2026-08-06 02:25:43,137000,6,822000,NQ,No Ppeke
10,ウィンドクリスタル,Kujata,1785950738,2026-08-06 02:25:38,42,140,5880,NQ,Aizlin Zyros
47740,サポートアイテム:古びた銭箱,Titan,1785950736,2026-08-06 02:25:36,7000,99,693000,NQ,Kyo Uino
5066,エレクトラムインゴット,Masamune,1785950728,2026-08-06 02:25:28,692,1,692,NQ,Naru Vert
49259,コートリーラヴァー・グレートソード,Tonberry,1785950716,2026-08-06 02:25:16,199990,1,199990,HQ,Olgamarie Animusphere
49240,キャラメルポップコーン,Ramuh,1785950713,2026-08-06 02:25:13,4000,3,12000,HQ,Nanouk Yecluy
45070,ドリーム・オブ・ウェポンチェスト,Hades,1785950701,2026-08-06 02:25:01,2480000,1,2480000,NQ,Teruru Teru
5066,エレクトラムインゴット,Tonberry,1785950693,2026-08-06 02:24:53,780,1,780,NQ,Kei Yozora
21795,シャーク級艦尾,Ixion,1785950677,2026-08-06 02:24:37,813909,1,813909,NQ,Sigmund Arens
52266,ダックポーター・ホイッスル,Anima,1785950675,2026-08-06 02:24:35,15600000,1,15600000,NQ,Mashu Mello
52286,ピクニック・バード,Mandragora,1785950658,2026-08-06 02:24:18,7000,1,7000,NQ,Leopard Nunh
8,ファイアクリスタル,Zeromus,1785950657,2026-08-06 02:24:17,44,3000,132000,NQ,Eustace Atol
8,ファイアクリスタル,Zeromus,1785950656,2026-08-06 02:24:16,43,1000,43000,NQ,Eustace Atol
8,ファイアクリスタル,Zeromus,1785950655,2026-08-06 02:24:15,43,1000,43000,NQ,Eustace Atol
44011,ホワイトゴールドインゴット,Bahamut,1785950648,2026-08-06 02:24:08,110,2,220,NQ,Showta Taketta
3,アイスシャード,Anima,1785950646,2026-08-06 02:24:06,51,3300,168300,NQ,Miu Chocolatte
8,ファイアクリスタル,Zeromus,1785950633,2026-08-06 02:23:53,43,1200,51600,NQ,Cheeky Lahee
13115,カララント:ジェットブラック,Asura,1785950628,2026-08-06 02:23:48,430001,1,430001,NQ,Seyu Melody
13115,カララント:ジェットブラック,Asura,1785950625,2026-08-06 02:23:45,420000,1,420000,NQ,Seyu Melody
8160,バルの果実,Hades,1785950624,2026-08-06 02:23:44,2000,10,20000,NQ,Vanilla Milksmoothie
44028,帯雷繭,Pandaemonium,1785950624,2026-08-06 02:23:44,680,10,6800,NQ,Neko Catts
44028,帯雷繭,Pandaemonium,1785950623,2026-08-06 02:23:43,402,10,4020,NQ,Neko Catts
47740,サポートアイテム:古びた銭箱,Asura,1785950615,2026-08-06 02:23:35,4997,99,494703,NQ,Seyu Melody
52292,演技教本:高笑い,Alexander,1785950603,2026-08-06 02:23:23,1480000,1,1480000,NQ,Leon Wahrheit
8160,バルの果実,Hades,1785950600,2026-08-06 02:23:20,1800,7,12600,NQ,Ill Heavenward
43556,古ぼけた地図G16,Carbuncle,1785950596,2026-08-06 02:23:16,6501,1,6501,NQ,Vincent Gardner
44008,ラァーインゴット,Anima,1785950588,2026-08-06 02:23:08,689,3,2067,NQ,Yama Hyrule
43986,ホワイトペッパー,Alexander,1785950588,2026-08-06 02:23:08,254,10,2540,NQ,Fiore Shikhu
46857,人造ダークマターγ,Zeromus,1785950587,2026-08-06 02:23:07,59998,1,59998,NQ,M's Yukki
46857,人造ダークマターγ,Zeromus,1785950586,2026-08-06 02:23:06,59998,1,59998,NQ,M's Yukki
46856,人造ダークマターβ,Zeromus,1785950583,2026-08-06 02:23:03,85700,1,85700,NQ,M's Yukki
46856,人造ダークマターβ,Zeromus,1785950580,2026-08-06 02:23:00,79999,1,79999,NQ,M's Yukki
46855,人造ダークマターα,Zeromus,1785950578,2026-08-06 02:22:58,95700,1,95700,NQ,M's Yukki
46855,人造ダークマターα,Zeromus,1785950577,2026-08-06 02:22:57,95699,1,95699,NQ,M's Yukki
41773,雄略のハイアルテマテリジャ,Titan,1785950574,2026-08-06 02:22:54,697,1,697,NQ,Ritu Mer
49227,トライヨラの染料,Typhon,1785950556,2026-08-06 02:22:36,5000,3,15000,NQ,Maya Brea
49227,トライヨラの染料,Typhon,1785950555,2026-08-06 02:22:35,5000,3,15000,NQ,Maya Brea
36091,キューカンバー,Belias,1785950550,2026-08-06 02:22:30,180,4,720,NQ,Mikazuki Augus
43987,メスキート豆,Ridill,1785950549,2026-08-06 02:22:29,200,4,800,NQ,Mini Popowa
43987,メスキート豆,Ridill,1785950548,2026-08-06 02:22:28,155,30,4650,NQ,Mini Popowa
36091,キューカンバー,Belias,1785950548,2026-08-06 02:22:28,180,8,1440,NQ,Mikazuki Augus
36091,キューカンバー,Belias,1785950546,2026-08-06 02:22:26,177,5,885,NQ,Mikazuki Augus
36091,キューカンバー,Belias,1785950545,2026-08-06 02:22:25,177,12,2124,NQ,Mikazuki Augus
49227,トライヨラの染料,Typhon,1785950543,2026-08-06 02:22:23,4000,10,40000,NQ,Maya Brea
36091,キューカンバー,Belias,1785950543,2026-08-06 02:22:23,167,2,334,NQ,Mikazuki Augus
5066,エレクトラムインゴット,Tonberry,1785950537,2026-08-06 02:22:17,229,1,229,HQ,Kei Yozora
50057,属性添加用合成樹脂,Zeromus,1785950523,2026-08-06 02:22:03,66999,1,66999,NQ,M's Yukki
50057,属性添加用合成樹脂,Zeromus,1785950522,2026-08-06 02:22:02,66998,1,66998,NQ,M's Yukki
15923,ムーンファイアトランクス,Pandaemonium,1785950520,2026-08-06 02:22:00,7666,1,7666,NQ,Mozuzu Mozu
50056,属性添加用金属材,Zeromus,1785950520,2026-08-06 02:22:00,86940,1,86940,NQ,M's Yukki
50056,属性添加用金属材,Zeromus,1785950519,2026-08-06 02:21:59,86939,1,86939,NQ,M's Yukki
43997,オルコクロマイトインゴット,Anima,1785950518,2026-08-06 02:21:58,800,1,800,NQ,Yama Hyrule
15923,ムーンファイアトランクス,Pandaemonium,1785950518,2026-08-06 02:21:58,5001,1,5001,NQ,Mozuzu Mozu
43997,オルコクロマイトインゴット,Anima,1785950516,2026-08-06 02:21:56,780,1,780,NQ,Yama Hyrule
50055,属性添加用部材,Zeromus,1785950516,2026-08-06 02:21:56,89848,1,89848,NQ,M's Yukki
43997,オルコクロマイトインゴット,Anima,1785950515,2026-08-06 02:21:55,780,2,1560,NQ,Yama Hyrule
50055,属性添加用部材,Zeromus,1785950515,2026-08-06 02:21:55,89847,1,89847,NQ,M's Yukki
43997,オルコクロマイトインゴット,Anima,1785950514,2026-08-06 02:21:54,779,1,779,NQ,Yama Hyrule
43997,オルコクロマイトインゴット,Anima,1785950513,2026-08-06 02:21:53,779,2,1558,NQ,Yama Hyrule
19938,キュプロナゲット,Hades,1785950505,2026-08-06 02:21:45,6000,15,90000,HQ,Koharu Amamiya
49829,クレセントマギ・ファイターリング,Valefor,1785950504,2026-08-06 02:21:44,1900000,1,1900000,NQ,Green May
19938,キュプロナゲット,Hades,1785950502,2026-08-06 02:21:42,4000,1,4000,HQ,Koharu Amamiya
45070,ドリーム・オブ・ウェポンチェスト,Titan,1785950495,2026-08-06 02:21:35,2479998,1,2479998,NQ,Tai Shiboh
45070,ドリーム・オブ・ウェポンチェスト,Titan,1785950494,2026-08-06 02:21:34,2479998,1,2479998,NQ,Tai Shiboh
49826,クレセントマギ・ファイターイヤリング,Masamune,1785950484,2026-08-06 02:21:24,29995000,1,29995000,NQ,Ulue Nolenorom
49827,クレセントマギ・ファイターネックレス,Masamune,1785950480,2026-08-06 02:21:20,32995000,1,32995000,NQ,Ulue Nolenorom
52266,ダックポーター・ホイッスル,Unicorn,1785950480,2026-08-06 02:21:20,17279998,1,17279998,NQ,Ecrea Earthsole
43858,紅サシ,Titan,1785950479,2026-08-06 02:21:19,439,99,43461,NQ,Keko Nemui
49321,コートリーラヴァー・ディフェンダーリング,Tiamat,1785950478,2026-08-06 02:21:18,60000,1,60000,HQ,Key Weard
49828,クレセントマギ・ファイターブレスレット,Masamune,1785950476,2026-08-06 02:21:16,27995000,1,27995000,NQ,Ulue Nolenorom
49830,クレセントマギ・マスターファイターリング,Masamune,1785950457,2026-08-06 02:20:57,83500,1,83500,NQ,Ulue Nolenorom
49306,コートリーラヴァー・ディフェンダーイヤリング,Tiamat,1785950453,2026-08-06 02:20:53,60000,1,60000,HQ,Key Weard
5059,コバルトインゴット,Ifrit,1785950436,2026-08-06 02:20:36,700,1,700,HQ,Ichi Yomaru
21795,シャーク級艦尾,Typhon,1785950424,2026-08-06 02:20:24,687265,1,687265,NQ,Yuumaru Ajiji
47964,タイニーヤーン,Aegis,1785950423,2026-08-06 02:20:23,1300000,1,1300000,NQ,Skyler Dreemurr
41773,雄略のハイアルテマテリジャ,Titan,1785950417,2026-08-06 02:20:17,500,1,500,NQ,Ritu Mer
41773,雄略のハイアルテマテリジャ,Titan,1785950416,2026-08-06 02:20:16,400,1,400,NQ,Ritu Mer
41773,雄略のハイアルテマテリジャ,Titan,1785950415,2026-08-06 02:20:15,237,1,237,NQ,Ritu Mer
41773,雄略のハイアルテマテリジャ,Titan,1785950414,2026-08-06 02:20:14,237,2,474,NQ,Ritu Mer
41772,武略のハイアルテマテリジャ,Titan,1785950409,2026-08-06 02:20:09,698,1,698,NQ,Ritu Mer
41772,武略のハイアルテマテリジャ,Titan,1785950408,2026-08-06 02:20:08,690,1,690,NQ,Ritu Mer
43557,古ぼけた地図G17,Titan,1785950399,2026-08-06 02:19:59,2950,1,2950,NQ,U'lula Ululali
43858,紅サシ,Titan,1785950395,2026-08-06 02:19:55,380,99,37620,NQ,Gohan Oisi
43858,紅サシ,Titan,1785950393,2026-08-06 02:19:53,370,99,36630,NQ,Gohan Oisi
41771,天眼のハイアルテマテリジャ,Titan,1785950392,2026-08-06 02:19:52,1100,9,9900,NQ,Ritu Mer
24630,エウレカスワローホルン,Fenrir,1785950366,2026-08-06 02:19:26,48000,1,48000,NQ,Yu-ka Yukka
36172,コンドライトインゴット,Anima,1785950365,2026-08-06 02:19:25,2600,9,23400,HQ,Yama Hyrule
13115,カララント:ジェットブラック,Atomos,1785950357,2026-08-06 02:19:17,418000,1,418000,NQ,Einarr Hilde
45978,ディアトリマの毛布,Tonberry,1785950355,2026-08-06 02:19:15,6800,6,40800,NQ,Tora Fang
45978,ディアトリマの毛布,Tonberry,1785950353,2026-08-06 02:19:13,6798,2,13596,NQ,Tora Fang
45978,ディアトリマの毛布,Tonberry,1785950351,2026-08-06 02:19:11,6779,3,20337,NQ,Tora Fang
45978,ディアトリマの毛布,Tonberry,1785950348,2026-08-06 02:19:08,5880,3,17640,NQ,Tora Fang
44001,カザナルインゴット,Tonberry,1785950347,2026-08-06 02:19:07,499,1,499,NQ,Baby Bubble
44001,カザナルインゴット,Tonberry,1785950345,2026-08-06 02:19:05,480,1,480,NQ,Baby Bubble
48096,フォーチュンカロット,Fenrir,1785950340,2026-08-06 02:19:00,2800000,1,2800000,NQ,Haduki Selene
15924,ムーンファイアカリガ,Masamune,1785950337,2026-08-06 02:18:57,8001,1,8001,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Masamune,1785950335,2026-08-06 02:18:55,7991,1,7991,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Masamune,1785950334,2026-08-06 02:18:54,5001,1,5001,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Masamune,1785950332,2026-08-06 02:18:52,5001,1,5001,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Masamune,1785950331,2026-08-06 02:18:51,4800,1,4800,NQ,Mozuzu Mozu
21800,ミラージュプリズム,Garuda,1785950324,2026-08-06 02:18:44,149,99,14751,NQ,Nami Lhiet
49834,クレセントマギ・ソーサラーリング,Garuda,1785950320,2026-08-06 02:18:40,335000,1,335000,NQ,Ray Luminare
49834,クレセントマギ・ソーサラーリング,Garuda,1785950318,2026-08-06 02:18:38,330000,1,330000,NQ,Ray Luminare
43556,古ぼけた地図G16,Carbuncle,1785950311,2026-08-06 02:18:31,6001,1,6001,NQ,Vincent Gardner
49275,コートリーラヴァー・ディフェンダーブーツ,Tiamat,1785950302,2026-08-06 02:18:22,80000,1,80000,HQ,Key Weard
27693,リグナムバイタ材,Kujata,1785950299,2026-08-06 02:18:19,1066,1,1066,NQ,Healda Koronel
43556,古ぼけた地図G16,Carbuncle,1785950298,2026-08-06 02:18:18,6000,1,6000,NQ,Vincent Gardner
41762,達識のハイオメガマテリジャ,Tonberry,1785950297,2026-08-06 02:18:17,1145,99,113355,NQ,Tora Fang
41762,達識のハイオメガマテリジャ,Tonberry,1785950295,2026-08-06 02:18:15,1140,18,20520,NQ,Tora Fang
41762,達識のハイオメガマテリジャ,Tonberry,1785950294,2026-08-06 02:18:14,948,24,22752,NQ,Tora Fang
49274,コートリーラヴァー・ディフェンダーブリーチ,Tiamat,1785950293,2026-08-06 02:18:13,80000,1,80000,HQ,Key Weard
41762,達識のハイオメガマテリジャ,Tonberry,1785950293,2026-08-06 02:18:13,900,99,89100,NQ,Tora Fang
41762,達識のハイオメガマテリジャ,Tonberry,1785950291,2026-08-06 02:18:11,890,50,44500,NQ,Tora Fang
8202,ナッツイーター,Chocobo,1785950290,2026-08-06 02:18:10,17750,1,17750,NQ,Astel Whitney
49273,コートリーラヴァー・ディフェンダーガントレット,Tiamat,1785950284,2026-08-06 02:18:04,80000,1,80000,HQ,Key Weard
49834,クレセントマギ・ソーサラーリング,Fenrir,1785950276,2026-08-06 02:17:56,45000,1,45000,NQ,Negius Agi
49271,コートリーラヴァー・ディフェンダーヘアピン,Tiamat,1785950271,2026-08-06 02:17:51,80000,1,80000,HQ,Key Weard
31406,ヘアカタログ:セイントウィング,Hades,1785950270,2026-08-06 02:17:50,19500,1,19500,NQ,Free Hugs
49264,コートリーラヴァー・ガンブレード,Pandaemonium,1785950269,2026-08-06 02:17:49,469521,1,469521,HQ,Mizue Fon
11,アースクリスタル,Atomos,1785950260,2026-08-06 02:17:40,42,2000,84000,NQ,Sakana Mizuki
41780,巨匠のハイアルテマテリジャ,Tonberry,1785950253,2026-08-06 02:17:33,8200,4,32800,NQ,Tora Fang
41780,巨匠のハイアルテマテリジャ,Tonberry,1785950252,2026-08-06 02:17:32,8200,5,41000,NQ,Tora Fang
41780,巨匠のハイアルテマテリジャ,Tonberry,1785950250,2026-08-06 02:17:30,8180,2,16360,NQ,Tora Fang
41780,巨匠のハイアルテマテリジャ,Tonberry,1785950249,2026-08-06 02:17:29,8178,6,49068,NQ,Tora Fang
50334,演技教本:地団駄を踏む,Masamune,1785950246,2026-08-06 02:17:26,8888888,1,8888888,NQ,Noa Fell
5066,エレクトラムインゴット,Ifrit,1785950226,2026-08-06 02:17:06,900,1,900,HQ,Ichi Yomaru
15923,ムーンファイアトランクス,Ixion,1785950225,2026-08-06 02:17:05,9001,1,9001,NQ,Mozuzu Mozu
51962,カーウェン・チュニック,Fenrir,1785950223,2026-08-06 02:17:03,529001,1,529001,NQ,Rachel Maynard
15923,ムーンファイアトランクス,Ixion,1785950223,2026-08-06 02:17:03,9000,1,9000,NQ,Mozuzu Mozu
52289,アンティーク・ランタン,Aegis,1785950222,2026-08-06 02:17:02,1420000,1,1420000,NQ,Graja Baelitae
15923,ムーンファイアトランクス,Ixion,1785950221,2026-08-06 02:17:01,8000,1,8000,NQ,Mozuzu Mozu
15923,ムーンファイアトランクス,Ixion,1785950219,2026-08-06 02:16:59,7000,1,7000,NQ,Mozuzu Mozu
24630,エウレカスワローホルン,Anima,1785950218,2026-08-06 02:16:58,11000,1,11000,NQ,Tagu Tagu
15923,ムーンファイアトランクス,Ixion,1785950218,2026-08-06 02:16:58,7000,1,7000,NQ,Mozuzu Mozu
44505,パワーローダー認証鍵,Tonberry,1785950216,2026-08-06 02:16:56,229999,1,229999,NQ,Rinnea Highwind
15927,ムーンファイアサンダル,Zeromus,1785950215,2026-08-06 02:16:55,5900,1,5900,NQ,Lala Xc
15927,ムーンファイアサンダル,Zeromus,1785950214,2026-08-06 02:16:54,4000,1,4000,NQ,Lala Xc
7064,リテイナーベル,Ramuh,1785950210,2026-08-06 02:16:50,29999,1,29999,NQ,Super Tamamo
50334,演技教本:地団駄を踏む,Masamune,1785950200,2026-08-06 02:16:40,8888888,1,8888888,NQ,Noa Fell
44071,タンブルクラブの枯草,Fenrir,1785950195,2026-08-06 02:16:35,200,5,1000,NQ,Mini Popowa
44071,タンブルクラブの枯草,Fenrir,1785950193,2026-08-06 02:16:33,195,4,780,NQ,Mini Popowa
5059,コバルトインゴット,Ifrit,1785950192,2026-08-06 02:16:32,700,1,700,HQ,Ichi Yomaru
44071,タンブルクラブの枯草,Fenrir,1785950192,2026-08-06 02:16:32,195,4,780,NQ,Mini Popowa
5059,コバルトインゴット,Ifrit,1785950191,2026-08-06 02:16:31,700,1,700,HQ,Ichi Yomaru
44071,タンブルクラブの枯草,Fenrir,1785950191,2026-08-06 02:16:31,193,5,965,NQ,Mini Popowa
44071,タンブルクラブの枯草,Fenrir,1785950190,2026-08-06 02:16:30,193,40,7720,NQ,Mini Popowa
52289,アンティーク・ランタン,Unicorn,1785950190,2026-08-06 02:16:30,1300000,1,1300000,NQ,Ecrea Earthsole
50458,スタイルカタログ:ホロゴーグル,Unicorn,1785950183,2026-08-06 02:16:23,15000,1,15000,NQ,Takumi King
13721,カララント:メタリックスカイブルー,Atomos,1785950182,2026-08-06 02:16:22,5000,1,5000,NQ,Don Harusame
15924,ムーンファイアカリガ,Hades,1785950165,2026-08-06 02:16:05,7000,1,7000,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Hades,1785950162,2026-08-06 02:16:02,6900,1,6900,NQ,Mozuzu Mozu
5116,鏡鉄鉱,Ixion,1785950161,2026-08-06 02:16:01,198,20,3960,NQ,Cielie Fouthentine
15924,ムーンファイアカリガ,Hades,1785950161,2026-08-06 02:16:01,6900,1,6900,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Hades,1785950159,2026-08-06 02:15:59,6800,1,6800,NQ,Mozuzu Mozu
15924,ムーンファイアカリガ,Hades,1785950158,2026-08-06 02:15:58,6799,1,6799,NQ,Mozuzu Mozu
49249,コートリーラヴァー・ソード,Chocobo,1785950157,2026-08-06 02:15:57,149700,1,149700,HQ,Kalmia Flower
50334,演技教本:地団駄を踏む,Masamune,1785950153,2026-08-06 02:15:53,8888888,1,8888888,NQ,Noa Fell
49314,コートリーラヴァー・ヒーラーチョーカー,Pandaemonium,1785950152,2026-08-06 02:15:52,79943,1,79943,HQ,Mizue Fon
15923,ムーンファイアトランクス,Hades,1785950151,2026-08-06 02:15:51,8000,1,8000,NQ,Mozuzu Mozu
15923,ムーンファイアトランクス,Hades,1785950149,2026-08-06 02:15:49,9000,1,9000,NQ,Mozuzu Mozu
15923,ムーンファイアトランクス,Hades,1785950148,2026-08-06 02:15:48,7800,1,7800,NQ,Mozuzu Mozu
49309,コートリーラヴァー・ヒーラーイヤリング,Pandaemonium,1785950147,2026-08-06 02:15:47,196709,1,196709,HQ,Mizue Fon
15923,ムーンファイアトランクス,Hades,1785950146,2026-08-06 02:15:46,7800,1,7800,NQ,Mozuzu Mozu
15923,ムーンファイアトランクス,Hades,1785950144,2026-08-06 02:15:44,7000,1,7000,NQ,Mozuzu Mozu
49300,コートリーラヴァー・ヒーラーシューズ,Pandaemonium,1785950142,2026-08-06 02:15:42,80000,1,80000,HQ,Mizue Fon
49296,コートリーラヴァー・ヒーラーフード,Yojimbo,1785950142,2026-08-06 02:15:42,1199991,1,1199991,HQ,Ns' Fw
49298,コートリーラヴァー・ヒーラーグローブ,Yojimbo,1785950142,2026-08-06 02:15:42,1,1,1,HQ,Ns' Fw
49300,コートリーラヴァー・ヒーラーシューズ,Yojimbo,1785950142,2026-08-06 02:15:42,1,1,1,HQ,Ns' Fw
49299,コートリーラヴァー・ヒーラーパンタロン,Pandaemonium,1785950137,2026-08-06 02:15:37,226414,1,226414,HQ,Mizue Fon
49305,コートリーラヴァー・キャスターシューズ,Yojimbo,1785950136,2026-08-06 02:15:36,1,1,1,HQ,Ns' Fw
49304,コートリーラヴァー・キャスターパンタロン,Yojimbo,1785950136,2026-08-06 02:15:36,1,1,1,HQ,Ns' Fw
49302,コートリーラヴァー・キャスターバトルドレス,Yojimbo,1785950136,2026-08-06 02:15:36,1,1,1,HQ,Ns' Fw
49301,コートリーラヴァー・キャスターフード,Yojimbo,1785950136,2026-08-06 02:15:36,1199991,1,1199991,HQ,Ns' Fw
49303,コートリーラヴァー・キャスターグローブ,Yojimbo,1785950136,2026-08-06 02:15:36,1,1,1,HQ,Ns' Fw
43986,ホワイトペッパー,Hades,1785950134,2026-08-06 02:15:34,254,20,5080,NQ,Ill Heavenward
49240,キャラメルポップコーン,Tiamat,1785950132,2026-08-06 02:15:32,2853,20,57060,HQ,Ruria Hydrangea
52295,演技教本:後ろを振り返る,Fenrir,1785950126,2026-08-06 02:15:26,1500000,1,1500000,NQ,Nihs Arum
52295,演技教本:後ろを振り返る,Fenrir,1785950125,2026-08-06 02:15:25,1500000,1,1500000,NQ,Nihs Arum
49296,コートリーラヴァー・ヒーラーフード,Pandaemonium,1785950123,2026-08-06 02:15:23,80000,1,80000,HQ,Mizue Fon
46246,紫電の霊砂,Durandal,1785950119,2026-08-06 02:15:19,1900,30,57000,NQ,Luna Darc
49829,クレセントマギ・ファイターリング,Hades,1785950119,2026-08-06 02:15:19,2750000,1,2750000,NQ,Silvia Hynde
49847,ヤーン・ウォールネオン,Bahamut,1785950115,2026-08-06 02:15:15,78000,1,78000,NQ,Ezer Elliott
52255,カララント:アディショナルカラー1,Pandaemonium,1785950112,2026-08-06 02:15:12,5850,10,58500,NQ,Forenov Fields
11,アースクリスタル,Tonberry,1785950094,2026-08-06 02:14:54,41,5000,205000,NQ,Volseus Alma
11,アースクリスタル,Tonberry,1785950090,2026-08-06 02:14:50,39,999,38961,NQ,Volseus Alma
52276,カプリーヌ,Carbuncle,1785950089,2026-08-06 02:14:49,60,1,60,NQ,Yuchi Mucha
28612,演技教本:斜め立ち,Tonberry,1785950089,2026-08-06 02:14:49,29094,1,29094,NQ,Nima Pode
52276,カプリーヌ,Carbuncle,1785950087,2026-08-06 02:14:47,60,1,60,NQ,Yuchi Mucha
32798,カーフスキン・ライダースキャップ,Yojimbo,1785950087,2026-08-06 02:14:47,27000,1,27000,NQ,Nio Nyao
52295,演技教本:後ろを振り返る,Aegis,1785950083,2026-08-06 02:14:43,1740000,1,1740000,NQ,Graja Baelitae
5064,シルバーインゴット,Yojimbo,1785950083,2026-08-06 02:14:43,1000,5,5000,HQ,Yohira Moon
52295,演技教本:後ろを振り返る,Aegis,1785950078,2026-08-06 02:14:38,1740000,1,1740000,NQ,Kamil Kaka
52289,アンティーク・ランタン,Typhon,1785950076,2026-08-06 02:14:36,1199900,1,1199900,NQ,Hype Boy
12,ライトニングクリスタル,Tonberry,1785950074,2026-08-06 02:14:34,27,9999,269973,NQ,Volseus Alma
49251,コートリーラヴァー・ラブリュス,Pandaemonium,1785950070,2026-08-06 02:14:30,479958,1,479958,HQ,Mizue Fon
50057,属性添加用合成樹脂,Ultima,1785950062,2026-08-06 02:14:22,40900,1,40900,NQ,Saji Kataribe
50056,属性添加用金属材,Ultima,1785950060,2026-08-06 02:14:20,53000,1,53000,NQ,Saji Kataribe
49321,コートリーラヴァー・ディフェンダーリング,Pandaemonium,1785950060,2026-08-06 02:14:20,100277,1,100277,HQ,Mizue Fon
49321,コートリーラヴァー・ディフェンダーリング,Pandaemonium,1785950058,2026-08-06 02:14:18,100277,1,100277,HQ,Mizue Fon
13708,カララント:パステルピンク,Ultima,1785950057,2026-08-06 02:14:17,32000,1,32000,NQ,Robert Laurent
13708,カララント:パステルピンク,Ultima,1785950056,2026-08-06 02:14:16,32000,1,32000,NQ,Robert Laurent
49227,トライヨラの染料,Titan,1785950052,2026-08-06 02:14:12,3007,20,60140,NQ,Luna Luna'
49227,トライヨラの染料,Titan,1785950051,2026-08-06 02:14:11,3007,20,60140,NQ,Luna Luna'
27707,ストーンゴールドナゲット,Kujata,1785950049,2026-08-06 02:14:09,711,1,711,NQ,Healda Koronel
19943,卸し鉄,Durandal,1785950047,2026-08-06 02:14:07,690,1,690,NQ,Minus Rs
49306,コートリーラヴァー・ディフェンダーイヤリング,Pandaemonium,1785950046,2026-08-06 02:14:06,180323,1,180323,HQ,Mizue Fon
49275,コートリーラヴァー・ディフェンダーブーツ,Pandaemonium,1785950042,2026-08-06 02:14:02,187003,1,187003,HQ,Mizue Fon
32798,カーフスキン・ライダースキャップ,Mandragora,1785950042,2026-08-06 02:14:02,38001,1,38001,NQ,Lalah Burwani
49274,コートリーラヴァー・ディフェンダーブリーチ,Pandaemonium,1785950038,2026-08-06 02:13:58,288999,1,288999,HQ,Mizue Fon
50972,包丁強化用合金,Aegis,1785950038,2026-08-06 02:13:58,30998,1,30998,NQ,Rose Cresment
49273,コートリーラヴァー・ディフェンダーガントレット,Pandaemonium,1785950031,2026-08-06 02:13:51,195372,1,195372,HQ,Mizue Fon
5059,コバルトインゴット,Unicorn,1785950029,2026-08-06 02:13:49,603,1,603,HQ,Sora Arashi
49272,コートリーラヴァー・ディフェンダーサーコート,Pandaemonium,1785950027,2026-08-06 02:13:47,277435,1,277435,HQ,Mizue Fon
49271,コートリーラヴァー・ディフェンダーヘアピン,Pandaemonium,1785950017,2026-08-06 02:13:37,196891,1,196891,HQ,Mizue Fon
52276,カプリーヌ,Garuda,1785950015,2026-08-06 02:13:35,33990,1,33990,NQ,Irukaneko Nekoiruka
36091,キューカンバー,Typhon,1785950013,2026-08-06 02:13:33,200,2,400,NQ,Fiachree Berry
36251,オピオタウロスレザー,Bahamut,1785950004,2026-08-06 02:13:24,904,1,904,NQ,Hang Tuah
43987,メスキート豆,Ridill,1785949989,2026-08-06 02:13:09,137,9,1233,NQ,Whale Spence
5510,ラバー,Garuda,1785949987,2026-08-06 02:13:07,780,1,780,NQ,Ciel Syf
41767,巨匠のハイオメガマテリジャ,Chocobo,1785949986,2026-08-06 02:13:06,5898,99,583902,NQ,Masyumon Masyu
27767,剛力の幻水G1,Kujata,1785949983,2026-08-06 02:13:03,900,1,900,NQ,Healda Koronel
15924,ムーンファイアカリガ,Typhon,1785949980,2026-08-06 02:13:00,5000,1,5000,NQ,Zora Polaris
44029,雪木綿布,Bahamut,1785949980,2026-08-06 02:13:00,898,1,898,NQ,Hang Tuah
44029,雪木綿布,Bahamut,1785949978,2026-08-06 02:12:58,898,1,898,NQ,Hang Tuah
