アイテムID,アイテム名,ワールド名,取引日時(JST),単価(Gil),数量,HQ,購入者名
31984,第四次復興用の最高級綿花【検】,Titan,2026-08-06 06:08:34,267,99,NQ,Rauli Vryn
44506,ヘアカタログ:ウェイビーボブ,Tonberry,2026-08-06 06:08:17,44896,1,NQ,Kei Zycie
13114,カララント:ピュアホワイト,Gungnir,2026-08-06 06:08:00,440000,1,NQ,S'harl Celah
49284,コートリーラヴァー・ストライカーブレー,Chocobo,2026-08-06 06:08:00,180000,1,HQ,Sae Re-al
49283,コートリーラヴァー・ストライカーアームガード,Chocobo,2026-08-06 06:07:56,169799,1,HQ,Sae Re-al
49829,クレセントマギ・ファイターリング,Chocobo,2026-08-06 06:07:54,2200000,1,NQ,Hina Mene
49282,コートリーラヴァー・ストライカークローク,Chocobo,2026-08-06 06:07:52,195000,1,HQ,Sae Re-al
44012,ブラックスター,Mandragora,2026-08-06 06:07:52,697,2,NQ,Siro Kuroitu
30113,ヘアカタログ:アシンメトリー,Tonberry,2026-08-06 06:07:50,15799,1,NQ,Kei Zycie
28615,ヘアカタログ:レジェンド,Tonberry,2026-08-06 06:07:46,5397,1,NQ,Kei Zycie
49829,クレセントマギ・ファイターリング,Yojimbo,2026-08-06 06:07:45,1950000,1,NQ,Ryoka Ark
16703,ヘアカタログ:ロングヘア,Tonberry,2026-08-06 06:07:42,27800,1,NQ,Kei Zycie
49234,剛力の宝薬G4,Kujata,2026-08-06 06:07:29,2667,99,HQ,Arthur Lionheart
13115,カララント:ジェットブラック,Garuda,2026-08-06 06:07:24,410001,1,NQ,S'harl Celah
41768,戦技のハイオメガマテリジャ,Garuda,2026-08-06 06:07:21,230,1,NQ,Ciho Kuroki
44001,カザナルインゴット,Mandragora,2026-08-06 06:07:21,320,1,NQ,Siro Kuroitu
41768,戦技のハイオメガマテリジャ,Garuda,2026-08-06 06:07:18,220,1,NQ,Ciho Kuroki
44001,カザナルインゴット,Mandragora,2026-08-06 06:07:18,322,2,NQ,Siro Kuroitu
41768,戦技のハイオメガマテリジャ,Garuda,2026-08-06 06:07:16,217,1,NQ,Ciho Kuroki
41768,戦技のハイオメガマテリジャ,Garuda,2026-08-06 06:07:13,217,1,NQ,Ciho Kuroki
41768,戦技のハイオメガマテリジャ,Garuda,2026-08-06 06:07:10,217,2,NQ,Ciho Kuroki
52295,演技教本:後ろを振り返る,Hades,2026-08-06 06:07:08,1690000,1,NQ,Vanessa Frenzel
48160,レポリットパラソル,Tonberry,2026-08-06 06:06:54,186000,1,NQ,Kei Zycie
44011,ホワイトゴールドインゴット,Atomos,2026-08-06 06:06:50,1000,1,HQ,Casia Alo
14152,イコンクロス,Tonberry,2026-08-06 06:06:41,555,1,NQ,Mori Nobu
14152,イコンクロス,Tonberry,2026-08-06 06:06:40,554,1,NQ,Mori Nobu
36228,眼力の幻水G5,Ridill,2026-08-06 06:06:39,800,1,HQ,Nepeta Saphir
14152,イコンクロス,Tonberry,2026-08-06 06:06:39,399,2,NQ,Mori Nobu
11,アースクリスタル,Aegis,2026-08-06 06:06:37,34,8000,NQ,Elizabeth Mayfield
31981,第四次復興用の最高級ホワイトシーダー原木【検】,Titan,2026-08-06 06:06:20,230,80,NQ,Rauli Vryn
36249,サイガレザー,Ridill,2026-08-06 06:06:05,1500,1,NQ,Nepeta Saphir
49244,ポポトポタージュ,Hades,2026-08-06 06:06:05,3095,99,HQ,Carome Luke
44025,高山亜麻,Pandaemonium,2026-08-06 06:06:05,32,25,NQ,Elysia Chlorotica
13715,カララント:パステルパープル,Tiamat,2026-08-06 06:06:03,1,2,NQ,Futtyo Drachenschwert
41759,武略のハイオメガマテリジャ,Garuda,2026-08-06 06:05:35,500,1,NQ,Ciho Kuroki
41759,武略のハイオメガマテリジャ,Garuda,2026-08-06 06:05:24,487,2,NQ,Ciho Kuroki
41759,武略のハイオメガマテリジャ,Garuda,2026-08-06 06:05:19,480,1,NQ,Ciho Kuroki
49234,剛力の宝薬G4,Titan,2026-08-06 06:05:18,4000,99,HQ,Ankoro Motti
49234,剛力の宝薬G4,Titan,2026-08-06 06:05:15,4000,99,HQ,Ankoro Motti
41759,武略のハイオメガマテリジャ,Garuda,2026-08-06 06:05:14,480,1,NQ,Ciho Kuroki
41759,武略のハイオメガマテリジャ,Garuda,2026-08-06 06:05:10,479,1,NQ,Ciho Kuroki
51952,トゥール・チュニック,Fenrir,2026-08-06 06:05:03,20000,1,NQ,Ley Line
51952,トゥール・チュニック,Fenrir,2026-08-06 06:05:02,20000,1,NQ,Ley Line
52289,アンティーク・ランタン,Carbuncle,2026-08-06 06:04:31,1379000,1,NQ,Black Alex
9,アイスクリスタル,Tiamat,2026-08-06 06:04:27,45,200,NQ,Heidi Roberts
13713,カララント:パステルブルー,Durandal,2026-08-06 06:03:57,200,1,NQ,Zela Crown
13713,カララント:パステルブルー,Durandal,2026-08-06 06:03:56,200,2,NQ,Zela Crown
13713,カララント:パステルブルー,Durandal,2026-08-06 06:03:55,200,2,NQ,Zela Crown
13,ウォータークリスタル,Kujata,2026-08-06 06:03:49,38,2000,NQ,Kin Toki
8,ファイアクリスタル,Ixion,2026-08-06 06:03:45,44,6120,NQ,Harinen Balloon
49256,コートリーラヴァー・インデックス,Anima,2026-08-06 06:03:35,159997,1,HQ,Shoka Miya
8,ファイアクリスタル,Kujata,2026-08-06 06:03:28,34,2000,NQ,Kin Toki
52289,アンティーク・ランタン,Garuda,2026-08-06 06:03:26,1200000,1,NQ,Zizz August
14152,イコンクロス,Carbuncle,2026-08-06 06:03:13,600,2,HQ,Mori Nobu
14152,イコンクロス,Carbuncle,2026-08-06 06:03:12,403,2,NQ,Mori Nobu
14152,イコンクロス,Carbuncle,2026-08-06 06:03:11,203,1,NQ,Mori Nobu
14152,イコンクロス,Carbuncle,2026-08-06 06:03:10,202,1,NQ,Mori Nobu
44848,高濃縮錬金薬,Ridill,2026-08-06 06:03:07,2000,9,NQ,Janne Heart
44848,高濃縮錬金薬,Ridill,2026-08-06 06:03:06,1900,5,NQ,Janne Heart
52440,ヘアカタログ:ブレイドバン,Belias,2026-08-06 06:02:56,1500000,1,NQ,Mumu Papico
49830,クレセントマギ・マスターファイターリング,Shinryu,2026-08-06 06:02:40,50000,1,NQ,Ruru Kumarino
50292,ストーリーラヴァー・クローク,Typhon,2026-08-06 06:02:39,300000,1,NQ,Sol Ciel
52289,アンティーク・ランタン,Pandaemonium,2026-08-06 06:02:15,1530000,1,NQ,Pere Pere
52266,ダックポーター・ホイッスル,Yojimbo,2026-08-06 06:02:05,1600000,1,NQ,Suplina- Kate
33655,フロンティアハット,Alexander,2026-08-06 06:01:41,500000,1,NQ,Wendela Schreiber
52289,アンティーク・ランタン,Ridill,2026-08-06 06:01:38,1100000,1,NQ,Hersande Gerraldieux
13716,カララント:ダークパープル,Ultima,2026-08-06 06:01:31,3000,1,NQ,Carrera Farina
13716,カララント:ダークパープル,Ultima,2026-08-06 06:01:30,2990,1,NQ,Carrera Farina
5118,金鉱,Shinryu,2026-08-06 06:01:17,100,8,NQ,Amane Shihoudo
5118,金鉱,Shinryu,2026-08-06 06:01:10,200,99,NQ,Amane Shihoudo
39484,マメット・アイドネウス,Valefor,2026-08-06 06:00:53,70000000,1,NQ,Ra Auryk
36212,カエアンビロード,Ramuh,2026-08-06 06:00:48,1405,3,HQ,Nekocyan Nekocyan
5118,金鉱,Shinryu,2026-08-06 06:00:38,160,99,NQ,Amane Shihoudo
8166,サベネアの野菜,Ramuh,2026-08-06 06:00:37,110000,1,NQ,Fiz Silving
8166,サベネアの野菜,Ramuh,2026-08-06 06:00:36,110000,1,NQ,Fiz Silving
8166,サベネアの野菜,Ramuh,2026-08-06 06:00:35,110000,1,NQ,Fiz Silving
8166,サベネアの野菜,Ramuh,2026-08-06 06:00:34,110000,10,NQ,Fiz Silving
36251,オピオタウロスレザー,Ramuh,2026-08-06 06:00:30,3005,1,HQ,Nekocyan Nekocyan
5064,シルバーインゴット,Shinryu,2026-08-06 06:00:29,970,19,HQ,Nui Oshi
44008,ラァーインゴット,Asura,2026-08-06 06:00:25,4000,1,HQ,Ellie Ngingii
49295,コートリーラヴァー・スカウトシューズ,Atomos,2026-08-06 06:00:11,286795,1,HQ,Devoid Elmess
35833,バイカラージェム納品証,Zeromus,2026-08-06 06:00:05,180000,20,NQ,Chikuwa Impulse
23892,グリーンパーティション,Durandal,2026-08-06 05:59:58,9880,1,NQ,Mademe Butterfly
23892,グリーンパーティション,Durandal,2026-08-06 05:59:56,9880,1,NQ,Mademe Butterfly
23892,グリーンパーティション,Durandal,2026-08-06 05:59:54,9000,1,NQ,Mademe Butterfly
23892,グリーンパーティション,Durandal,2026-08-06 05:59:53,8000,1,NQ,Mademe Butterfly
35833,バイカラージェム納品証,Zeromus,2026-08-06 05:59:53,169800,99,NQ,Chikuwa Impulse
23892,グリーンパーティション,Durandal,2026-08-06 05:59:52,8000,1,NQ,Mademe Butterfly
36194,インテグラル原木,Ixion,2026-08-06 05:59:52,150,10,NQ,Myra Stuart
35833,バイカラージェム納品証,Zeromus,2026-08-06 05:59:52,169800,99,NQ,Chikuwa Impulse
36194,インテグラル原木,Ixion,2026-08-06 05:59:47,150,3,NQ,Myra Stuart
36194,インテグラル原木,Ixion,2026-08-06 05:59:44,150,3,NQ,Myra Stuart
46857,人造ダークマターγ,Ixion,2026-08-06 05:59:44,125000,1,NQ,Dagasi Kasi
46856,人造ダークマターβ,Ixion,2026-08-06 05:59:42,97000,1,NQ,Dagasi Kasi
36080,パームシュガー,Aegis,2026-08-06 05:59:28,430,30,NQ,Boota Boo
32858,ゴールデンビーバー,Belias,2026-08-06 05:59:20,99999998,1,NQ,Ra Auryk
49293,コートリーラヴァー・スカウトハーフグローブ,Atomos,2026-08-06 05:58:59,289896,1,HQ,Devoid Elmess
13116,カララント:シャインシルバー,Belias,2026-08-06 05:58:56,699,2,NQ,Elizabeth Mclain
13116,カララント:シャインシルバー,Belias,2026-08-06 05:58:54,691,1,NQ,Elizabeth Mclain
13116,カララント:シャインシルバー,Belias,2026-08-06 05:58:53,600,1,NQ,Elizabeth Mclain
13116,カララント:シャインシルバー,Belias,2026-08-06 05:58:52,500,1,NQ,Elizabeth Mclain
19938,キュプロナゲット,Hades,2026-08-06 05:58:39,2500,1,NQ,T'coco Abel
12224,藍鉄鉱,Carbuncle,2026-08-06 05:58:33,500,20,NQ,Liselot Manon
12224,藍鉄鉱,Carbuncle,2026-08-06 05:58:30,499,50,HQ,Liselot Manon
12224,藍鉄鉱,Carbuncle,2026-08-06 05:58:29,469,53,HQ,Liselot Manon
12224,藍鉄鉱,Carbuncle,2026-08-06 05:58:28,455,56,HQ,Liselot Manon
12224,藍鉄鉱,Carbuncle,2026-08-06 05:58:27,449,12,HQ,Liselot Manon
36251,オピオタウロスレザー,Ramuh,2026-08-06 05:58:18,2500,1,HQ,Nekocyan Nekocyan
52288,スコップ,Gungnir,2026-08-06 05:57:47,1599800,1,NQ,Hersande Gerraldieux
49227,トライヨラの染料,Kujata,2026-08-06 05:57:34,3800,20,NQ,Abraham Arkwright
49834,クレセントマギ・ソーサラーリング,Ixion,2026-08-06 05:57:34,700000,1,NQ,Lonicera Lilium
49834,クレセントマギ・ソーサラーリング,Ixion,2026-08-06 05:57:25,700000,1,NQ,Lonicera Lilium
44059,ハンマーヘッドダイルレザー,Titan,2026-08-06 05:56:54,900,2,NQ,Mei Oronir
43997,オルコクロマイトインゴット,Asura,2026-08-06 05:56:40,1100,1,NQ,Ellie Ngingii
50824,柔らかそうな海獣,Asura,2026-08-06 05:56:39,1100000,1,NQ,Ra Auryk
43997,オルコクロマイトインゴット,Asura,2026-08-06 05:56:37,1100,1,NQ,Ellie Ngingii
49835,クレセントマギ・マスターソーサラーリング,Ixion,2026-08-06 05:56:31,9000,1,NQ,Lonicera Lilium
46857,人造ダークマターγ,Tonberry,2026-08-06 05:56:31,88999,1,NQ,Snowy Flake
49828,クレセントマギ・ファイターブレスレット,Yojimbo,2026-08-06 05:56:25,26500000,1,NQ,Drunk Sushi
44008,ラァーインゴット,Asura,2026-08-06 05:56:22,1712,3,NQ,Ellie Ngingii
13116,カララント:シャインシルバー,Titan,2026-08-06 05:56:09,900,1,NQ,Hakusi Nokaze
46856,人造ダークマターβ,Tonberry,2026-08-06 05:56:07,89000,3,NQ,Snowy Flake
38453,マメット・フィロス,Asura,2026-08-06 05:56:01,38932222,1,NQ,Ra Auryk
32830,演技教本:チョコボの筆,Typhon,2026-08-06 05:55:59,15000,1,NQ,Yuno Shigure
44041,ウィンドローレル,Kujata,2026-08-06 05:55:33,45,20,NQ,Grim Moonscar
46855,人造ダークマターα,Tonberry,2026-08-06 05:55:27,93800,1,NQ,Snowy Flake
45978,ディアトリマの毛布,Ultima,2026-08-06 05:55:27,9000,1,NQ,Chloe Oftree
45978,ディアトリマの毛布,Ultima,2026-08-06 05:55:26,9000,1,NQ,Chloe Oftree
44071,タンブルクラブの枯草,Aegis,2026-08-06 05:55:12,111,5,NQ,Tamaki Enuu
41780,巨匠のハイアルテマテリジャ,Unicorn,2026-08-06 05:55:08,11990,5,NQ,Marianna Stagea
45978,ディアトリマの毛布,Ultima,2026-08-06 05:54:51,9000,1,NQ,Chloe Oftree
46246,紫電の霊砂,Durandal,2026-08-06 05:54:50,1891,99,NQ,Satuki Lunar
39476,スズサウルス,Chocobo,2026-08-06 05:54:30,1990,1,NQ,Koh Neu-
47179,ゴールデンサム・スピニングホイール,Unicorn,2026-08-06 05:54:24,298697,1,HQ,Marianna Stagea
44059,ハンマーヘッドダイルレザー,Titan,2026-08-06 05:54:18,1004,1,NQ,Mei Oronir
47168,ゴールデンサム・ニードル,Unicorn,2026-08-06 05:54:15,283897,1,HQ,Marianna Stagea
4868,ギサールの野菜,Chocobo,2026-08-06 05:54:06,97,99,NQ,Mamachan Yo
19938,キュプロナゲット,Carbuncle,2026-08-06 05:54:04,600,4,NQ,Rum Coke
52268,コスモ・プレデター認証鍵,Titan,2026-08-06 05:54:02,400000,1,NQ,Rai Wheeler
47964,タイニーヤーン,Chocobo,2026-08-06 05:53:56,980000,1,NQ,Al Tnyn
36172,コンドライトインゴット,Ramuh,2026-08-06 05:53:53,2414,3,HQ,Nekocyan Nekocyan
47964,タイニーヤーン,Chocobo,2026-08-06 05:53:48,980000,1,NQ,Al Tnyn
47964,タイニーヤーン,Chocobo,2026-08-06 05:53:47,980000,1,NQ,Al Tnyn
5300,ギガントードの粗皮,Tonberry,2026-08-06 05:53:02,69,9,NQ,Breokkuri Ardor
44059,ハンマーヘッドダイルレザー,Titan,2026-08-06 05:52:45,800,2,HQ,Mei Oronir
50057,属性添加用合成樹脂,Alexander,2026-08-06 05:52:40,97699,1,NQ,Roci Pour
50056,属性添加用金属材,Alexander,2026-08-06 05:52:37,97799,1,NQ,Roci Pour
50055,属性添加用部材,Alexander,2026-08-06 05:52:34,65900,1,NQ,Roci Pour
13715,カララント:パステルパープル,Masamune,2026-08-06 05:52:04,999,2,NQ,Mahiro Seoto
13715,カララント:パステルパープル,Masamune,2026-08-06 05:52:03,900,1,NQ,Mahiro Seoto
13715,カララント:パステルパープル,Masamune,2026-08-06 05:52:01,899,1,NQ,Mahiro Seoto
13715,カララント:パステルパープル,Masamune,2026-08-06 05:52:00,899,1,NQ,Mahiro Seoto
13715,カララント:パステルパープル,Masamune,2026-08-06 05:51:58,500,1,NQ,Mahiro Seoto
36200,インテグラル材,Typhon,2026-08-06 05:51:56,1999,2,HQ,S'raha Tia
36172,コンドライトインゴット,Typhon,2026-08-06 05:51:39,1014,1,HQ,S'raha Tia
36172,コンドライトインゴット,Typhon,2026-08-06 05:51:38,1014,1,HQ,S'raha Tia
41758,天眼のハイオメガマテリジャ,Pandaemonium,2026-08-06 05:51:28,216,2,NQ,Liya Lalafell
52286,ピクニック・バード,Kujata,2026-08-06 05:51:20,10000,1,NQ,Ra Auryk
49829,クレセントマギ・ファイターリング,Pandaemonium,2026-08-06 05:51:17,2250000,1,NQ,Nitra Zepam
50296,ストーリースピナー・ヘッドドレス,Hades,2026-08-06 05:50:27,750000,1,NQ,Wao Soragurasu
49829,クレセントマギ・ファイターリング,Pandaemonium,2026-08-06 05:50:23,2200000,1,NQ,Alex Saber
36212,カエアンビロード,Ramuh,2026-08-06 05:50:07,1400,2,HQ,Nekocyan Nekocyan
8147,鍛人のデミマテリダ,Garuda,2026-08-06 05:49:42,450,21,NQ,R'an Maru
41760,雄略のハイオメガマテリジャ,Carbuncle,2026-08-06 05:49:41,240,42,NQ,Chino Springfield
8147,鍛人のデミマテリダ,Garuda,2026-08-06 05:49:41,450,99,NQ,R'an Maru
41760,雄略のハイオメガマテリジャ,Carbuncle,2026-08-06 05:49:40,239,2,NQ,Chino Springfield
41760,雄略のハイオメガマテリジャ,Carbuncle,2026-08-06 05:49:39,238,5,NQ,Chino Springfield
41760,雄略のハイオメガマテリジャ,Carbuncle,2026-08-06 05:49:38,217,5,NQ,Chino Springfield
41760,雄略のハイオメガマテリジャ,Carbuncle,2026-08-06 05:49:37,200,1,NQ,Chino Springfield
13708,カララント:パステルピンク,Kujata,2026-08-06 05:49:36,32000,1,NQ,Aztrid Zoldyck
13708,カララント:パステルピンク,Kujata,2026-08-06 05:49:33,31800,1,NQ,Aztrid Zoldyck
13708,カララント:パステルピンク,Kujata,2026-08-06 05:49:30,29999,1,NQ,Aztrid Zoldyck
20476,アオザイ,Bahamut,2026-08-06 05:49:27,29000,1,NQ,Ranta Rurple
52255,カララント:アディショナルカラー1,Kujata,2026-08-06 05:49:12,7379,9,NQ,Aztrid Zoldyck
44059,ハンマーヘッドダイルレザー,Titan,2026-08-06 05:48:57,800,2,HQ,Mei Oronir
52255,カララント:アディショナルカラー1,Kujata,2026-08-06 05:48:56,7379,10,NQ,Aztrid Zoldyck
49834,クレセントマギ・ソーサラーリング,Ramuh,2026-08-06 05:48:53,347700,1,NQ,Alliy Balic
49834,クレセントマギ・ソーサラーリング,Ramuh,2026-08-06 05:48:52,340000,1,NQ,Alliy Balic
13711,カララント:パステルグリーン,Typhon,2026-08-06 05:48:48,500,2,NQ,Marina Cepheid
13711,カララント:パステルグリーン,Typhon,2026-08-06 05:48:46,450,2,NQ,Marina Cepheid
45070,ドリーム・オブ・ウェポンチェスト,Ifrit,2026-08-06 05:48:02,2200000,1,NQ,Ma Vuika
10387,サベネアンターバン,Bahamut,2026-08-06 05:48:01,100,1,NQ,Ranta Rurple
10388,サベネアンボレロ,Bahamut,2026-08-06 05:47:53,200,1,NQ,Ranta Rurple
50789,オーケストリオン譜:Absolute Tyranny,Hades,2026-08-06 05:47:50,1490000,1,NQ,Mira Glitter
49240,キャラメルポップコーン,Shinryu,2026-08-06 05:47:45,2130,25,HQ,Celeste Ashford
49240,キャラメルポップコーン,Shinryu,2026-08-06 05:47:43,2127,30,HQ,Celeste Ashford
49240,キャラメルポップコーン,Shinryu,2026-08-06 05:47:41,2127,30,HQ,Celeste Ashford
10391,サベネアンバブーシュ,Bahamut,2026-08-06 05:47:40,150,1,NQ,Ranta Rurple
49828,クレセントマギ・ファイターブレスレット,Gungnir,2026-08-06 05:47:39,28799900,1,NQ,Liz Sylvesta
49240,キャラメルポップコーン,Shinryu,2026-08-06 05:47:39,2127,30,HQ,Celeste Ashford
44058,シルバリオレザー,Ramuh,2026-08-06 05:47:12,1905,1,HQ,Raiga Saejima
44058,シルバリオレザー,Ramuh,2026-08-06 05:47:11,1905,1,HQ,Raiga Saejima
44032,ロネークサージ,Titan,2026-08-06 05:47:01,400,1,NQ,Mei Oronir
44019,ウコギ材,Garuda,2026-08-06 05:46:51,1500,2,NQ,Nagi Ichinose
44028,帯雷繭,Yojimbo,2026-08-06 05:46:46,200,10,NQ,Rin Shimohana
44028,帯雷繭,Yojimbo,2026-08-06 05:46:43,200,10,NQ,Rin Shimohana
49833,クレセントマギ・ソーサラーブレスレット,Belias,2026-08-06 05:46:42,13499999,1,NQ,Alliy Balic
20471,道士袍服,Bahamut,2026-08-06 05:46:33,4500,1,NQ,Ranta Rurple
52276,カプリーヌ,Ifrit,2026-08-06 05:45:42,65998,1,NQ,Chuel Blanchul
5066,エレクトラムインゴット,Ultima,2026-08-06 05:45:29,1,3,HQ,Thela Vaegcyn
44059,ハンマーヘッドダイルレザー,Titan,2026-08-06 05:44:38,900,1,NQ,Mei Oronir
12,ライトニングクリスタル,Tonberry,2026-08-06 05:44:20,25,5000,NQ,Haka Utsume
5532,樹液塊,Yojimbo,2026-08-06 05:44:09,200,9,NQ,Amane Shihoudo
5532,樹液塊,Yojimbo,2026-08-06 05:44:08,200,20,NQ,Amane Shihoudo
50255,ミソスヘラルド・ロインクロス,Yojimbo,2026-08-06 05:43:54,59898,1,NQ,Lucs Furuyama
12,ライトニングクリスタル,Tonberry,2026-08-06 05:43:44,25,5000,NQ,Haka Utsume
5532,樹液塊,Yojimbo,2026-08-06 05:43:36,200,99,NQ,Amane Shihoudo
44011,ホワイトゴールドインゴット,Asura,2026-08-06 05:43:33,300,2,NQ,Ellie Ngingii
5120,白金鉱,Carbuncle,2026-08-06 05:43:33,980,99,NQ,Diamant Zaandam
5120,白金鉱,Carbuncle,2026-08-06 05:43:32,980,99,NQ,Diamant Zaandam
5120,白金鉱,Carbuncle,2026-08-06 05:43:31,979,99,NQ,Diamant Zaandam
5120,白金鉱,Carbuncle,2026-08-06 05:43:30,979,99,NQ,Diamant Zaandam
5120,白金鉱,Carbuncle,2026-08-06 05:43:29,700,35,NQ,Diamant Zaandam
12,ライトニングクリスタル,Tonberry,2026-08-06 05:43:21,24,3000,NQ,Haka Utsume
44032,ロネークサージ,Titan,2026-08-06 05:43:13,299,1,NQ,Mei Oronir
28590,レベルコート,Pandaemonium,2026-08-06 05:43:03,339,1,NQ,Rubia Firno
49827,クレセントマギ・ファイターネックレス,Ifrit,2026-08-06 05:43:01,32900000,1,NQ,Rucia Aurelius
49829,クレセントマギ・ファイターリング,Masamune,2026-08-06 05:43:00,2200000,1,NQ,Uther Fujisaki
49829,クレセントマギ・ファイターリング,Masamune,2026-08-06 05:42:58,2199800,1,NQ,Uther Fujisaki
5066,エレクトラムインゴット,Ultima,2026-08-06 05:42:53,1000,4,HQ,Thela Vaegcyn
47176,ゴールデンサム・プライヤー,Unicorn,2026-08-06 05:42:37,265997,1,HQ,Nami Honoka
52286,ピクニック・バード,Typhon,2026-08-06 05:42:29,9000,1,NQ,Momo Flora
32802,カーフスキン・ライダースシューズ,Titan,2026-08-06 05:41:48,35500,1,NQ,Sasa Gili
46185,古ぼけた地図G18,Fenrir,2026-08-06 05:41:48,2000,1,NQ,G'raha Tia-wolf
10335,ダークマタークラスター,Ixion,2026-08-06 05:41:44,440,99,NQ,Tia Flatte
10335,ダークマタークラスター,Ixion,2026-08-06 05:41:42,440,99,NQ,Tia Flatte
5530,コークス,Masamune,2026-08-06 05:41:42,158,99,NQ,Jack Damon
5530,コークス,Masamune,2026-08-06 05:41:41,150,8,NQ,Jack Damon
5530,コークス,Masamune,2026-08-06 05:41:39,150,30,NQ,Jack Damon
10335,ダークマタークラスター,Ixion,2026-08-06 05:41:38,440,99,NQ,Tia Flatte
5530,コークス,Masamune,2026-08-06 05:41:38,149,99,NQ,Jack Damon
10335,ダークマタークラスター,Ixion,2026-08-06 05:41:37,440,99,NQ,Tia Flatte
5530,コークス,Masamune,2026-08-06 05:41:37,149,99,NQ,Jack Damon
10335,ダークマタークラスター,Ixion,2026-08-06 05:41:34,440,99,NQ,Tia Flatte
52255,カララント:アディショナルカラー1,Bahamut,2026-08-06 05:41:32,4999,1,NQ,Showta Taketta
52255,カララント:アディショナルカラー1,Bahamut,2026-08-06 05:41:30,4999,1,NQ,Showta Taketta
32800,カーフスキン・ライダースグローブ,Titan,2026-08-06 05:41:29,17800,1,NQ,Sasa Gili
5359,チョコボの羽根,Tonberry,2026-08-06 05:41:21,500,1,NQ,Breokkuri Ardor
44042,ユーカリ,Pandaemonium,2026-08-06 05:41:20,150,1,NQ,Poo Grenger
44042,ユーカリ,Pandaemonium,2026-08-06 05:41:18,144,4,NQ,Poo Grenger
44042,ユーカリ,Pandaemonium,2026-08-06 05:41:16,143,15,NQ,Poo Grenger
44033,サンダーヤードシルク,Titan,2026-08-06 05:40:25,850,1,NQ,Mei Oronir
44033,サンダーヤードシルク,Titan,2026-08-06 05:40:24,850,1,NQ,Mei Oronir
12531,精霊銀砂,Valefor,2026-08-06 05:39:47,232,24,NQ,Daraku Sableye
36212,カエアンビロード,Asura,2026-08-06 05:39:42,1000,1,HQ,Aya Komomo
36212,カエアンビロード,Asura,2026-08-06 05:39:40,1000,2,HQ,Aya Komomo
36212,カエアンビロード,Asura,2026-08-06 05:39:39,1000,2,HQ,Aya Komomo
36212,カエアンビロード,Asura,2026-08-06 05:39:38,995,2,HQ,Aya Komomo
13715,カララント:パステルパープル,Shinryu,2026-08-06 05:39:38,201,1,NQ,Zela Crown
13713,カララント:パステルブルー,Shinryu,2026-08-06 05:39:35,200,1,NQ,Zela Crown
13713,カララント:パステルブルー,Shinryu,2026-08-06 05:39:34,110,1,NQ,Zela Crown
13713,カララント:パステルブルー,Shinryu,2026-08-06 05:39:33,100,1,NQ,Zela Crown
13713,カララント:パステルブルー,Shinryu,2026-08-06 05:39:32,91,1,NQ,Zela Crown
44019,ウコギ材,Unicorn,2026-08-06 05:39:26,1000,23,HQ,Rukoto Caffeine
5676,雄略のマテリダ,Kujata,2026-08-06 05:39:09,200,1,NQ,Suzune Akashiya
5676,雄略のマテリダ,Kujata,2026-08-06 05:39:08,200,1,NQ,Suzune Akashiya
5676,雄略のマテリダ,Kujata,2026-08-06 05:39:07,200,1,NQ,Suzune Akashiya
13115,カララント:ジェットブラック,Tonberry,2026-08-06 05:38:47,427999,1,NQ,Nara Sigeo
44033,サンダーヤードシルク,Titan,2026-08-06 05:38:38,850,1,NQ,Mei Oronir
44033,サンダーヤードシルク,Titan,2026-08-06 05:38:37,850,1,NQ,Mei Oronir
5066,エレクトラムインゴット,Ultima,2026-08-06 05:37:35,2,36,NQ,Thela Vaegcyn
49833,クレセントマギ・ソーサラーブレスレット,Alexander,2026-08-06 05:37:21,13999999,1,NQ,Alishan Forestcat
49834,クレセントマギ・ソーサラーリング,Chocobo,2026-08-06 05:37:15,900000,1,NQ,Atri Carina
49834,クレセントマギ・ソーサラーリング,Chocobo,2026-08-06 05:37:14,900000,1,NQ,Atri Carina
49832,クレセントマギ・ソーサラーネックレス,Alexander,2026-08-06 05:37:13,20000000,1,NQ,Alishan Forestcat
49831,クレセントマギ・ソーサラーイヤリング,Alexander,2026-08-06 05:36:59,14740000,1,NQ,Alishan Forestcat
52292,演技教本:高笑い,Chocobo,2026-08-06 05:36:59,1500000,1,NQ,Alulu Armonie
5061,ダークスチールナゲット,Mandragora,2026-08-06 05:36:32,1300,1,NQ,Aoi Love
36115,巨匠の薬酒,Fenrir,2026-08-06 05:36:21,1117,99,HQ,The Thirty-second
44032,ロネークサージ,Titan,2026-08-06 05:36:12,400,1,NQ,Mei Oronir
44032,ロネークサージ,Titan,2026-08-06 05:36:11,300,1,NQ,Mei Oronir
13713,カララント:パステルブルー,Unicorn,2026-08-06 05:36:00,250,1,NQ,Zela Crown
13713,カララント:パステルブルー,Unicorn,2026-08-06 05:35:59,240,1,NQ,Zela Crown
13713,カララント:パステルブルー,Unicorn,2026-08-06 05:35:58,230,2,NQ,Zela Crown
13713,カララント:パステルブルー,Unicorn,2026-08-06 05:35:57,200,1,NQ,Zela Crown
13713,カララント:パステルブルー,Unicorn,2026-08-06 05:35:56,200,1,NQ,Zela Crown
46856,人造ダークマターβ,Pandaemonium,2026-08-06 05:35:48,70000,1,NQ,Iono's Nanjamo
